Date : 2023-04-23 19:34:28
Directory : d:\前端学习\08.project\10.vue3-auth\src
Total : 94 files,  5476 codes, 309 comments, 773 blanks, all 6558 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| vue        |         39 |      3,487 |          9 |        470 |      3,966 |
| SCSS       |         10 |        957 |         67 |        198 |      1,222 |
| TypeScript |         25 |        900 |        233 |        103 |      1,236 |
| XML        |         19 |        119 |          0 |          0 |        119 |
| CSS        |          1 |         13 |          0 |          2 |         15 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |         94 |      5,476 |        309 |        773 |      6,558 |
| . (Files)                                                                            |          5 |        136 |          3 |         24 |        163 |
| Layout                                                                               |         15 |      1,183 |          8 |        185 |      1,376 |
| Layout (Files)                                                                       |          5 |        197 |          8 |         36 |        241 |
| Layout\components                                                                    |         10 |        986 |          0 |        149 |      1,135 |
| Layout\components (Files)                                                            |          3 |        467 |          0 |         74 |        541 |
| Layout\components\Settings                                                           |          5 |        329 |          0 |         39 |        368 |
| Layout\components\SideBar                                                            |          2 |        190 |          0 |         36 |        226 |
| api                                                                                  |          6 |        290 |        138 |         35 |        463 |
| assets                                                                               |         30 |      1,044 |         67 |        191 |      1,302 |
| assets (Files)                                                                       |          1 |          1 |          0 |          0 |          1 |
| assets\i18n                                                                          |          2 |         60 |          0 |          0 |         60 |
| assets\logo                                                                          |          1 |          1 |          0 |          0 |          1 |
| assets\styles                                                                        |          9 |        865 |         67 |        191 |      1,123 |
| assets\svg                                                                           |         17 |        117 |          0 |          0 |        117 |
| components                                                                           |          4 |        256 |          3 |         16 |        275 |
| router                                                                               |          1 |        113 |         46 |          7 |        166 |
| store                                                                                |          5 |        198 |         19 |         21 |        238 |
| utils                                                                                |          7 |        194 |         17 |         29 |        240 |
| views                                                                                |         21 |      2,062 |          8 |        265 |      2,335 |
| views (Files)                                                                        |          5 |        568 |          3 |        116 |        687 |
| views\error                                                                          |          2 |        307 |          0 |         41 |        348 |
